2026-03-02 10:58:32.859 | INFO     | app.main:startup:85 - 🚀 Doc Verificacion API v1.0.0 iniciado
2026-03-02 10:58:32.869 | INFO     | app.main:startup:86 - 📋 Docs: http://localhost:8000/docs
2026-03-02 10:58:57.168 | INFO     | app.api.routes:verificar_documento:93 - Verificando documento - tipo: TipoDocumento.RESIDENCIA_TEMPORAL - tamaño: 422.4KB
2026-03-02 10:58:57.169 | INFO     | app.services.verificacion:verificar:47 - Iniciando verificación - tipo: TipoDocumento.RESIDENCIA_TEMPORAL
2026-03-02 10:59:11.263 | INFO     | app.services.verificacion:verificar:119 - Verificación completada - Score: 77 - Resultado: ResultadoVerificacion.ORIGINAL - 14094ms
2026-03-02 11:02:09.333 | INFO     | app.main:startup:85 - 🚀 Doc Verificacion API v1.0.0 iniciado
2026-03-02 11:02:09.335 | INFO     | app.main:startup:86 - 📋 Docs: http://localhost:8000/docs
2026-03-02 11:02:36.930 | INFO     | app.api.routes:verificar_comprobante:138 - Verificando comprobante - archivo: comprobante_domicilio.pdf - tamaño: 295.8KB
2026-03-02 11:02:43.195 | INFO     | app.api.routes:verificar_documento:93 - Verificando documento - tipo: TipoDocumento.INE_NUEVA - tamaño: 299.6KB
2026-03-02 11:02:43.195 | INFO     | app.services.verificacion:verificar:47 - Iniciando verificación - tipo: TipoDocumento.INE_NUEVA
2026-03-02 11:03:00.654 | INFO     | app.services.verificacion:verificar:119 - Verificación completada - Score: 80 - Resultado: ResultadoVerificacion.ORIGINAL - 17458ms
2026-03-02 11:05:37.073 | INFO     | app.api.routes:verificar_documento:93 - Verificando documento - tipo: TipoDocumento.INE_NUEVA - tamaño: 422.4KB
2026-03-02 11:05:37.073 | INFO     | app.services.verificacion:verificar:47 - Iniciando verificación - tipo: TipoDocumento.INE_NUEVA
2026-03-02 11:05:47.203 | INFO     | app.services.verificacion:verificar:119 - Verificación completada - Score: 77 - Resultado: ResultadoVerificacion.ORIGINAL - 10129ms
2026-03-02 11:07:04.982 | INFO     | app.api.routes:verificar_comprobante:138 - Verificando comprobante - archivo: comprobante_domicilio.pdf - tamaño: 295.8KB
2026-03-02 11:07:13.863 | INFO     | app.main:startup:85 - 🚀 Doc Verificacion API v1.0.0 iniciado
2026-03-02 11:07:13.865 | INFO     | app.main:startup:86 - 📋 Docs: http://localhost:8000/docs
2026-03-02 11:07:24.602 | INFO     | app.api.routes:verificar_comprobante:138 - Verificando comprobante - archivo: comprobante_domicilio.pdf - tamaño: 295.8KB
