id_gastos_cobranza;Id_credito;parcialidad_actual;parcialidad_calculada;estatus;detalle;semana;periodo_inicio;periodo_fin;monto_local;nota_fecha_s2;nota_monto_s2;nota_indice_s2;cuota_id_cargo;cuota_fecha_vencimiento;cuota_concepto;metodo_calculo
205545;687192;61;61;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 09-2026";2026-02-23;2026-03-01;250.00;;;;61;2026-02-23;"CUOTA SEMANAL 61 DE 156";cuota_en_periodo_gdc
306407;687192;65;65;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 13-2026";2026-03-23;2026-03-29;250.00;;;;65;2026-03-23;"CUOTA SEMANAL 65 DE 156";cuota_en_periodo_gdc
379358;687192;69;69;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 17-2026";2026-04-20;2026-04-26;250.00;;;;69;2026-04-20;"CUOTA SEMANAL 69 DE 156";cuota_en_periodo_gdc
132438;687262;57;57;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 06-2026";2026-02-02;2026-02-08;250.00;;;;57;2026-02-02;"CUOTA SEMANAL 57 DE 104";cuota_en_periodo_gdc
361663;687262;67;67;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 16-2026";2026-04-13;2026-04-19;250.00;;;;67;2026-04-13;"CUOTA SEMANAL 67 DE 104";cuota_en_periodo_gdc
8133;687279;56;56;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 5-2026";2026-01-26;2026-02-01;250.00;;;;56;2026-01-26;"CUOTA SEMANAL 56 DE 156";cuota_en_periodo_gdc
156230;687279;58;58;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 07-2026";2026-02-09;2026-02-15;250.00;;;;58;2026-02-09;"CUOTA SEMANAL 58 DE 156";cuota_en_periodo_gdc
205547;687279;60;60;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 09-2026";2026-02-23;2026-03-01;250.00;;;;60;2026-02-23;"CUOTA SEMANAL 60 DE 156";cuota_en_periodo_gdc
231224;687279;61;61;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 10-2026";2026-03-02;2026-03-08;250.00;;;;61;2026-03-02;"CUOTA SEMANAL 61 DE 156";cuota_en_periodo_gdc
255506;687279;62;62;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 11-2026";2026-03-09;2026-03-15;250.00;;;;62;2026-03-09;"CUOTA SEMANAL 62 DE 156";cuota_en_periodo_gdc
280057;687279;63;63;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 12-2026";2026-03-16;2026-03-22;250.00;;;;63;2026-03-16;"CUOTA SEMANAL 63 DE 156";cuota_en_periodo_gdc
